gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,Churn,TicketMedio,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,NumServicos,Risk_Score,Risk_Tier
1,0,1,1,49,1,0,1,1,0,1,0,0,0,0,59.6,0,60.61836734693878,0,0,1,0,0,4,10,Baixo Risco
0,0,0,0,30,1,0,1,1,0,0,0,0,0,1,55.3,0,51.02,0,0,0,0,0,3,32,Risco Medio
1,0,1,1,47,1,1,0,1,0,0,1,1,0,1,99.35,1,101.04574468085106,1,0,0,1,0,5,71,Alto Risco
1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,30.2,1,30.2,0,0,0,1,0,1,63,Risco Medio
1,0,1,0,72,1,1,1,1,1,1,1,1,2,1,90.25,0,88.46458333333334,0,0,1,0,0,8,5,Baixo Risco
0,0,0,1,17,1,0,0,0,0,0,1,1,0,1,64.7,1,64.3,0,0,0,0,1,3,61,Risco Medio
0,1,1,0,71,1,1,1,1,1,1,0,0,2,1,96.35,0,95.30915492957746,1,0,1,0,0,6,9,Baixo Risco
1,1,1,0,2,1,0,0,0,1,0,1,1,0,1,95.5,0,90.825,1,0,1,0,0,4,87,Alto Risco
0,0,1,1,27,1,0,1,1,1,1,0,0,1,0,66.15,0,69.42407407407407,0,0,0,0,1,5,10,Baixo Risco
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.2,0,20.2,0,1,0,0,0,1,35,Risco Medio
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,45.25,0,45.25,0,0,0,0,0,1,60,Risco Medio
0,0,1,1,72,1,1,1,1,0,1,1,0,2,0,99.9,0,100.71805555555557,1,0,0,0,0,6,6,Baixo Risco
1,0,0,0,5,1,0,0,0,0,0,0,0,0,1,69.7,1,63.38,1,0,0,1,0,1,84,Alto Risco
0,0,0,0,46,1,0,0,0,1,0,0,0,0,1,74.8,0,77.13695652173914,1,0,1,0,0,2,53,Risco Medio
1,0,0,0,34,1,1,0,1,1,0,1,1,0,1,106.35,1,104.38970588235294,1,0,0,1,0,6,81,Alto Risco
0,0,0,0,11,1,1,0,0,1,0,1,1,0,1,97.85,1,100.4909090909091,1,0,0,0,0,5,85,Alto Risco
1,0,1,1,10,1,0,0,1,0,0,0,0,1,0,49.55,0,47.57,0,0,0,0,1,2,26,Baixo Risco
0,0,1,1,70,1,1,1,1,0,0,1,0,2,1,69.2,0,69.605,0,0,1,0,0,5,5,Baixo Risco
0,0,1,1,17,1,0,0,0,0,0,0,0,1,0,20.75,0,24.602941176470587,0,1,0,0,1,1,13,Baixo Risco
0,0,0,0,63,1,1,1,1,1,1,1,0,2,1,79.85,0,77.16587301587302,0,0,1,0,0,7,5,Baixo Risco
0,0,1,0,13,1,1,1,1,0,1,1,0,0,1,76.2,0,75.49615384615385,0,0,0,1,0,6,54,Risco Medio
0,0,0,0,49,1,1,0,0,0,0,0,1,0,1,84.5,0,79.72857142857143,1,0,0,1,0,3,72,Alto Risco
1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,49.25,0,48.5,0,0,0,0,1,2,52,Risco Medio
0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,80.65,1,72.075,1,0,0,1,0,2,87,Alto Risco
1,0,0,0,52,1,1,1,0,0,1,1,1,2,1,79.75,0,81.11153846153846,0,0,1,0,0,6,11,Baixo Risco
0,0,1,1,69,1,1,1,0,1,1,0,0,2,1,64.15,0,61.6536231884058,0,0,1,0,0,5,3,Baixo Risco
0,1,0,0,43,1,1,0,1,0,0,1,0,0,1,90.25,0,89.27325581395348,1,0,0,1,0,4,76,Alto Risco
0,0,0,0,15,1,0,1,1,0,0,1,1,0,1,99.1,1,95.09333333333332,1,0,1,0,0,5,71,Alto Risco
0,1,1,0,25,1,1,1,0,0,1,1,0,0,1,69.5,0,70.10600000000001,0,0,1,0,0,5,43,Risco Medio
0,1,1,0,8,1,1,0,1,0,0,0,0,0,1,80.65,1,79.1625,1,0,1,0,0,3,78,Alto Risco
0,1,1,1,60,1,0,1,1,1,1,0,1,1,1,74.85,0,74.27250000000001,0,0,1,0,0,6,8,Baixo Risco
1,1,0,0,18,1,1,0,0,0,0,1,1,0,1,95.45,1,97.36388888888888,1,0,0,1,0,4,90,Alto Risco
0,0,1,1,63,1,1,1,0,0,0,1,1,1,1,99.65,0,100.17777777777778,1,0,1,0,0,5,29,Baixo Risco
1,1,1,1,66,1,1,0,1,1,1,1,1,1,1,108.45,0,107.21742424242424,1,0,0,1,0,7,39,Risco Medio
0,0,1,1,34,1,1,0,0,0,0,0,0,2,0,24.95,0,26.302941176470583,0,1,1,0,0,2,5,Baixo Risco
0,0,0,0,72,1,1,0,0,1,1,1,1,2,1,107.5,0,109.07916666666668,1,0,1,0,0,6,19,Baixo Risco
0,0,1,0,47,1,1,0,0,1,0,1,1,0,1,100.5,0,100.15106382978723,1,0,0,1,0,5,77,Alto Risco
1,0,0,0,60,1,1,0,1,0,0,1,0,0,1,89.9,0,90.845,1,0,0,0,0,4,54,Risco Medio
1,0,1,0,72,0,0,1,1,1,0,0,0,2,0,42.1,0,41.138888888888886,0,0,0,0,0,3,4,Baixo Risco
0,0,1,1,18,1,0,0,0,1,1,0,0,1,1,54.4,0,53.172222222222224,0,0,1,0,0,3,22,Baixo Risco
0,0,0,0,9,1,1,0,0,0,0,1,1,0,0,94.4,1,95.25,1,0,0,1,0,4,87,Alto Risco
0,0,0,0,3,1,0,0,1,0,1,1,1,0,1,75.3,0,81.36666666666666,0,0,0,1,0,5,72,Alto Risco
1,0,1,0,47,1,1,0,1,0,0,0,0,1,1,78.9,0,77.66702127659575,1,0,0,1,0,3,49,Risco Medio
0,0,0,0,31,1,0,0,1,1,1,1,1,2,0,79.2,0,80.55483870967741,0,0,0,0,1,6,14,Baixo Risco
0,0,1,1,50,1,0,0,0,0,0,0,0,2,0,20.15,0,18.618,0,1,0,0,0,1,3,Baixo Risco
1,0,0,0,10,1,0,1,0,1,0,0,0,0,1,79.85,0,88.735,1,0,0,0,1,3,69,Risco Medio
1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,49.05,0,49.05,0,0,0,0,1,2,49,Risco Medio
0,0,1,1,52,1,0,0,0,0,0,0,0,1,1,20.4,0,20.974038461538463,0,1,0,1,0,1,11,Baixo Risco
1,1,1,1,64,1,1,1,0,1,1,1,1,2,1,111.6,0,110.921875,1,0,0,0,0,7,16,Baixo Risco
1,0,1,1,62,1,1,0,0,0,0,0,0,2,1,24.25,0,22.97741935483871,0,1,0,0,0,2,4,Baixo Risco
0,0,0,1,3,1,0,1,0,0,1,0,1,0,1,64.5,0,59.13333333333333,0,0,0,0,0,4,44,Risco Medio
0,1,0,0,56,1,1,1,1,1,0,1,1,1,0,110.5,0,109.63392857142856,1,0,0,1,0,7,42,Risco Medio
0,0,0,0,46,1,0,0,0,0,0,0,1,1,0,55.65,0,58.45326086956521,0,0,1,0,0,2,20,Baixo Risco
0,0,1,1,8,1,0,1,1,0,0,0,0,0,0,54.65,0,60.28125,0,0,0,0,1,3,33,Risco Medio
1,1,0,0,30,1,0,1,1,0,0,1,1,0,1,74.75,0,70.37666666666668,0,0,0,1,0,5,58,Risco Medio
0,0,1,1,45,1,1,0,0,0,0,0,0,1,1,25.9,0,27.035555555555558,0,1,1,0,0,2,10,Baixo Risco
0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,79.35,1,79.35,1,0,0,1,0,2,85,Alto Risco
0,0,1,1,11,0,0,1,0,0,0,1,1,0,0,50.55,0,51.39545454545455,0,0,0,1,0,3,62,Risco Medio
0,0,1,0,7,1,0,0,0,1,0,0,0,0,1,75.15,1,70.98571428571428,1,0,0,0,0,2,75,Alto Risco
0,0,0,0,42,1,0,0,1,1,1,1,1,0,1,103.8,0,103.03571428571428,1,0,0,0,0,6,57,Risco Medio
0,0,1,0,49,1,0,0,0,0,0,0,0,2,1,20.15,0,19.864285714285717,0,1,0,0,0,1,5,Baixo Risco
1,0,0,0,9,1,1,0,1,0,0,1,1,0,1,99.3,0,102.08333333333331,1,0,1,0,0,5,84,Alto Risco
0,0,1,0,35,1,0,1,0,0,0,1,0,1,1,62.15,0,63.29857142857142,0,0,0,0,0,3,24,Baixo Risco
0,0,1,1,48,1,0,0,0,0,0,0,0,2,0,20.65,0,22.02083333333333,0,1,0,0,0,1,3,Baixo Risco
0,0,1,1,46,1,0,0,0,0,0,0,0,2,1,19.95,0,20.15434782608696,0,1,0,0,1,1,5,Baixo Risco
1,0,1,0,29,0,0,0,0,0,0,1,0,0,0,33.75,0,34.80172413793103,0,0,0,0,1,1,51,Risco Medio
1,0,1,1,30,1,0,0,1,1,0,0,0,0,0,82.05,0,85.67333333333333,1,0,0,0,0,3,48,Risco Medio
1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,74.7,0,74.7,1,0,0,1,0,2,78,Alto Risco
1,0,1,1,66,1,1,1,0,1,1,1,1,2,1,84.0,0,86.57954545454545,0,0,0,0,1,7,7,Baixo Risco
0,0,0,0,65,1,1,1,1,1,0,1,1,0,1,111.05,0,109.33846153846154,1,0,1,0,0,7,45,Risco Medio
1,0,0,0,72,1,1,0,1,1,0,1,1,2,1,100.9,0,103.59791666666666,1,0,0,0,0,6,22,Baixo Risco
0,0,0,0,12,1,1,1,0,0,0,0,0,0,1,78.95,1,77.27916666666667,1,0,0,1,0,3,78,Alto Risco
1,0,1,1,71,1,1,1,1,0,1,0,0,1,1,66.85,0,66.8830985915493,0,0,1,0,0,5,6,Baixo Risco
1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,21.05,1,22.77,0,1,0,0,1,1,35,Risco Medio
1,0,0,0,52,1,0,0,0,0,0,0,0,2,0,21.0,0,21.29230769230769,0,1,0,0,0,1,4,Baixo Risco
0,1,1,0,25,1,0,0,1,1,0,1,1,0,1,98.5,1,100.58,1,0,0,1,0,5,83,Alto Risco
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.2,0,20.2,0,1,0,0,1,1,37,Risco Medio
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,19.45,0,19.45,0,1,0,1,0,1,38,Risco Medio
1,0,0,0,38,1,1,0,0,1,1,1,0,1,0,95.0,0,94.88421052631578,1,0,0,0,0,5,39,Risco Medio
0,1,1,0,66,0,0,0,1,1,0,1,0,1,0,45.55,0,45.86742424242424,0,0,0,0,0,3,16,Baixo Risco
1,0,1,0,68,1,1,0,1,1,1,1,1,2,1,110.0,1,111.93897058823528,1,0,0,0,0,7,19,Baixo Risco
1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,24.3,0,20.04,0,0,0,0,1,0,61,Risco Medio
0,0,1,1,72,1,1,1,1,0,0,1,1,1,1,104.15,0,101.43125,1,0,0,1,0,6,30,Baixo Risco
0,0,0,0,32,0,0,1,0,0,0,0,0,1,0,30.15,0,28.9890625,0,0,0,0,1,1,22,Baixo Risco
1,0,0,0,43,1,1,0,0,0,0,1,1,1,0,94.35,0,91.19302325581396,1,0,0,0,1,4,51,Risco Medio
1,0,1,1,72,1,0,0,0,0,0,0,0,2,0,19.4,0,18.93402777777778,0,1,1,0,0,1,2,Baixo Risco
1,0,1,0,55,1,1,1,1,0,0,1,0,0,1,96.75,1,95.25272727272728,1,0,0,1,0,5,57,Risco Medio
0,0,0,0,52,1,0,1,0,1,1,0,0,1,0,57.95,0,58.50480769230769,0,0,1,0,0,4,7,Baixo Risco
0,0,0,0,43,1,0,0,1,1,0,1,0,0,1,91.65,0,91.95581395348836,1,0,0,1,0,4,68,Risco Medio
0,1,1,0,37,1,1,0,0,0,0,0,0,0,1,76.5,1,77.51756756756757,1,0,0,1,0,2,76,Alto Risco
0,0,1,1,64,0,0,0,1,0,1,1,1,2,1,54.6,0,53.4921875,0,0,0,1,0,4,13,Baixo Risco
1,0,1,1,3,1,0,1,1,0,0,1,0,0,0,89.85,0,82.8,1,0,0,1,0,4,69,Risco Medio
0,0,0,0,36,0,0,1,0,0,0,0,0,2,0,31.05,0,31.2875,0,0,0,0,0,1,11,Baixo Risco
0,0,1,1,10,1,1,1,0,0,0,1,1,0,1,100.25,1,106.465,1,0,0,1,0,5,83,Alto Risco
0,0,0,0,41,1,0,0,0,0,0,0,0,2,0,20.65,0,20.36951219512195,0,1,0,0,1,1,5,Baixo Risco
1,0,1,1,27,1,1,0,1,0,1,0,0,0,1,85.2,0,79.68888888888888,1,0,1,0,0,4,53,Risco Medio
0,0,1,1,56,1,1,0,0,1,0,1,1,1,1,99.8,0,98.49017857142856,1,0,1,0,0,5,41,Risco Medio
0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,20.7,0,18.791666666666668,0,1,0,0,1,1,33,Risco Medio
1,0,0,0,3,1,1,0,0,0,0,0,0,0,1,74.4,1,76.51666666666667,1,0,0,1,0,2,87,Alto Risco
0,0,1,1,7,1,0,1,0,0,0,0,0,0,0,50.7,0,50.05,0,0,0,0,1,2,37,Risco Medio
0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,20.85,0,15.725,0,1,0,0,1,1,28,Baixo Risco
1,0,0,0,33,1,0,1,0,0,1,1,0,2,1,88.95,0,91.7469696969697,1,0,0,1,0,4,31,Risco Medio
0,1,0,0,27,1,1,0,0,1,0,0,0,0,1,78.05,1,79.0925925925926,1,0,0,1,0,3,80,Alto Risco
1,0,1,0,72,1,1,0,0,0,0,0,0,2,1,23.55,0,23.94375,0,1,0,0,0,2,4,Baixo Risco
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,19.75,0,19.75,0,1,0,0,1,1,36,Risco Medio
1,1,0,0,71,0,0,1,1,0,0,1,1,1,1,56.45,0,56.131690140845066,0,0,0,1,0,4,26,Baixo Risco
0,0,0,0,13,1,1,0,0,0,0,0,1,0,1,85.95,0,93.51153846153846,1,0,0,1,0,3,87,Alto Risco
0,0,1,1,25,0,0,1,1,1,0,1,1,0,1,58.6,1,60.106,0,0,1,0,0,5,46,Risco Medio
1,0,0,0,67,1,0,0,0,0,1,0,0,2,0,50.55,0,48.65820895522388,0,0,0,0,0,2,4,Baixo Risco
1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,35.45,1,35.45,0,0,0,1,0,1,82,Alto Risco
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,44.35,1,40.625,0,0,0,1,0,1,64,Risco Medio
0,0,0,0,43,1,1,0,0,0,0,0,0,2,1,25.7,0,27.632558139534886,0,1,1,0,0,2,7,Baixo Risco
0,0,0,0,23,1,0,1,0,0,0,0,0,0,1,75.0,0,77.32608695652173,1,0,0,0,0,2,60,Risco Medio
0,0,1,1,64,1,0,0,0,0,0,0,0,2,0,20.2,0,19.96484375,0,1,0,0,1,1,2,Baixo Risco
1,0,0,1,57,1,0,0,0,0,0,0,0,2,1,19.6,0,20.5359649122807,0,1,0,0,1,1,4,Baixo Risco
0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,70.45,1,70.45,1,0,0,0,1,1,82,Alto Risco
0,1,1,1,72,1,1,1,1,1,1,1,1,2,1,88.05,0,89.24513888888889,0,0,1,0,0,8,5,Baixo Risco
0,0,0,0,8,1,1,1,0,0,1,0,1,0,0,71.15,1,70.45625,0,0,0,1,0,5,54,Risco Medio
0,0,1,0,61,1,1,0,1,0,0,1,1,2,1,101.05,0,97.88934426229508,1,0,0,0,0,5,27,Baixo Risco
1,0,0,0,64,1,1,1,1,0,0,0,0,1,1,84.3,0,82.64140625,1,0,1,0,0,4,22,Baixo Risco
1,1,1,0,71,1,1,0,0,0,0,0,0,2,0,23.95,0,24.735211267605635,0,1,0,0,0,2,3,Baixo Risco
0,0,1,1,65,1,1,1,1,0,1,1,0,2,1,99.05,0,98.71846153846154,1,0,1,0,0,6,9,Baixo Risco
1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,19.6,0,20.45,0,1,0,0,1,1,22,Baixo Risco
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,45.65,1,45.65,0,0,0,1,0,1,72,Alto Risco
1,0,0,1,30,1,0,0,1,1,0,1,0,1,0,64.5,0,64.33166666666666,0,0,1,0,0,4,20,Baixo Risco
1,0,1,1,15,1,0,0,1,1,1,0,1,0,1,69.5,0,71.42666666666668,0,0,0,0,1,5,44,Risco Medio
0,0,1,1,8,1,0,0,0,0,1,1,1,0,1,68.55,0,70.54375,0,0,0,1,0,4,66,Risco Medio
1,0,0,0,7,1,1,0,0,0,0,1,1,0,0,95.0,1,93.64285714285714,1,0,0,0,1,4,84,Alto Risco
0,0,1,1,70,1,1,1,1,1,0,1,1,1,1,108.15,0,113.29357142857144,1,0,1,0,0,7,22,Baixo Risco
1,0,1,1,62,1,0,1,1,1,1,1,1,2,0,86.1,0,84.11693548387096,0,0,0,1,0,7,5,Baixo Risco
0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,19.7,0,18.916666666666668,0,1,0,0,1,1,27,Baixo Risco
0,0,1,1,14,1,0,0,0,0,0,0,1,0,1,80.9,0,82.34285714285714,1,0,0,0,0,2,74,Alto Risco
0,0,0,0,22,1,1,0,0,0,0,1,0,0,1,84.15,0,82.81590909090909,1,0,0,0,0,3,78,Alto Risco
1,0,1,1,22,1,0,0,0,0,0,0,0,1,0,20.15,0,19.08636363636364,0,1,0,0,1,1,12,Baixo Risco
1,0,1,1,16,1,0,1,0,1,0,1,0,2,0,64.25,0,64.0,0,0,0,0,1,4,14,Baixo Risco
1,0,0,0,10,1,1,0,0,0,0,0,0,2,0,25.7,0,25.16,0,1,0,0,0,2,13,Baixo Risco
0,0,0,1,13,1,0,1,1,0,0,0,0,0,1,56.0,0,58.81153846153846,0,0,0,1,0,3,47,Risco Medio
0,0,1,0,20,1,1,1,0,0,0,0,0,0,0,82.4,1,79.61749999999999,1,0,0,1,0,3,67,Risco Medio
0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,69.7,0,67.6,1,0,0,1,0,1,85,Alto Risco
1,0,0,0,53,1,1,0,1,1,1,0,1,2,1,73.9,0,74.68396226415095,0,0,0,0,0,6,11,Baixo Risco
0,0,1,1,11,1,0,0,0,0,0,0,0,1,0,20.6,0,21.263636363636365,0,1,0,0,1,1,15,Baixo Risco
1,0,1,0,69,1,0,0,0,0,0,0,0,2,0,19.9,0,19.76014492753623,0,1,0,0,1,1,3,Baixo Risco
0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,70.9,1,68.25,1,0,0,0,0,1,78,Alto Risco
1,0,1,0,72,1,1,1,1,1,1,1,1,2,1,89.05,0,86.86736111111111,0,0,0,0,0,8,6,Baixo Risco
1,1,1,0,58,0,0,0,1,1,0,0,1,0,1,45.3,1,45.710344827586205,0,0,0,1,0,3,50,Risco Medio
0,0,1,1,16,1,0,0,0,0,0,0,0,0,0,20.4,0,20.0875,0,1,0,1,0,1,29,Baixo Risco
1,0,1,0,43,1,0,1,0,1,1,0,0,1,1,84.25,0,82.30813953488372,1,0,0,0,0,4,24,Baixo Risco
0,0,1,0,2,1,1,0,0,1,1,1,1,0,1,104.4,1,121.4,1,0,0,1,0,6,89,Alto Risco
1,0,1,0,14,1,0,0,1,1,1,1,1,2,0,81.95,0,84.41071428571429,0,0,0,0,1,6,20,Baixo Risco
0,0,1,0,53,1,0,0,0,1,0,1,1,1,1,94.85,1,94.3433962264151,1,0,0,0,0,4,45,Risco Medio
0,0,0,0,32,1,0,0,0,0,0,0,0,1,0,20.55,0,20.4546875,0,1,0,0,0,1,11,Baixo Risco
0,0,1,0,34,1,1,0,0,0,0,0,0,0,0,24.7,0,22.947058823529414,0,1,0,1,0,2,28,Baixo Risco
0,1,0,0,15,1,1,0,0,0,0,0,0,0,1,74.45,1,76.38000000000001,1,0,0,0,1,2,80,Alto Risco
0,1,0,0,7,1,0,1,0,0,0,0,0,0,0,76.45,1,71.94285714285715,1,0,0,0,0,2,65,Risco Medio
0,0,1,1,15,1,1,0,1,1,0,1,1,0,1,105.35,0,103.95,1,0,0,0,0,6,78,Alto Risco
1,0,1,0,61,1,0,0,0,0,0,0,0,1,1,20.55,0,20.524590163934427,0,1,1,0,0,1,7,Baixo Risco
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29.95,1,29.95,0,0,0,0,0,1,59,Risco Medio
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,45.3,0,45.3,0,0,0,0,1,1,56,Risco Medio
1,0,0,0,8,1,1,0,0,0,0,0,1,0,0,84.5,1,82.83125,1,0,0,0,0,3,79,Alto Risco
1,0,1,1,33,1,0,1,0,1,0,1,1,1,0,74.75,0,74.34242424242424,0,0,1,0,0,5,18,Baixo Risco
0,0,0,0,13,1,0,0,1,1,0,0,0,0,1,79.25,1,85.51153846153846,1,0,0,1,0,3,78,Alto Risco
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,24.8,1,24.8,0,0,0,1,0,0,76,Alto Risco
1,0,0,0,20,1,0,0,1,0,0,0,0,0,1,51.8,0,51.1925,0,0,0,0,1,2,50,Risco Medio
1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,30.4,0,27.383333333333336,0,0,0,1,0,1,63,Risco Medio
0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,19.65,0,18.83076923076923,0,1,0,1,0,1,23,Baixo Risco
0,0,1,0,40,1,1,0,1,0,0,0,0,0,0,56.6,0,59.4775,0,0,1,0,0,3,31,Risco Medio
1,0,1,1,43,1,1,1,0,0,1,0,1,1,1,71.9,0,73.79883720930232,0,0,1,0,0,5,15,Baixo Risco
1,0,1,0,6,1,0,0,1,1,0,0,1,0,1,91.0,1,88.5,1,0,0,1,0,4,84,Alto Risco
0,0,1,1,69,1,0,0,0,0,0,0,0,2,0,19.75,0,19.933333333333334,0,1,0,0,0,1,2,Baixo Risco
0,0,1,1,72,1,1,1,1,1,0,1,1,2,0,109.7,0,112.90694444444443,1,0,1,0,0,7,9,Baixo Risco
1,0,1,1,59,1,0,0,0,0,0,0,0,2,0,19.3,0,20.215254237288136,0,1,1,0,0,1,2,Baixo Risco
0,0,1,0,20,1,0,1,1,0,1,1,0,0,1,96.55,0,95.0825,1,0,0,1,0,5,65,Risco Medio
1,0,1,1,24,1,1,0,0,0,0,0,0,2,1,24.1,0,24.475,0,1,0,0,0,2,10,Baixo Risco
1,0,0,0,59,1,1,0,1,1,1,1,1,0,1,111.35,0,110.5042372881356,1,0,0,1,0,7,62,Risco Medio
1,0,1,1,72,1,1,0,1,1,1,1,1,2,1,112.25,0,111.68958333333332,1,0,0,0,0,7,14,Baixo Risco
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,20.75,0,20.75,0,1,0,0,1,1,32,Risco Medio
0,0,1,0,27,1,0,1,0,0,1,1,1,1,1,101.9,0,99.30185185185184,1,0,1,0,0,5,44,Risco Medio
0,0,0,0,14,1,0,0,1,0,1,0,0,0,1,80.05,0,79.45,1,0,1,0,0,3,62,Risco Medio
1,0,1,1,71,1,1,1,0,1,0,1,1,2,0,105.55,0,104.30281690140843,1,0,0,1,0,6,16,Baixo Risco
1,0,0,1,13,1,0,0,0,0,0,1,0,0,1,78.3,0,79.53461538461539,1,0,1,0,0,2,74,Alto Risco
1,0,0,0,44,1,0,0,0,0,0,0,0,0,0,68.85,0,67.24886363636364,1,0,1,0,0,1,47,Risco Medio
0,0,0,0,33,1,0,0,1,0,1,0,0,1,1,79.95,0,81.35909090909091,1,0,0,0,0,3,36,Risco Medio
1,0,1,1,72,0,0,1,1,1,1,0,1,2,1,55.45,0,58.04444444444445,0,0,1,0,0,5,4,Baixo Risco
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,79.9,1,79.9,1,0,0,1,0,2,85,Alto Risco
0,0,0,0,19,1,0,1,0,1,1,1,1,0,1,106.6,1,101.81315789473685,1,0,0,1,0,6,74,Alto Risco
1,0,1,0,64,1,0,0,1,1,1,1,1,1,1,102.45,0,103.9703125,1,0,1,0,0,6,27,Baixo Risco
1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,46.0,1,42.25,0,0,1,0,0,1,61,Risco Medio
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.25,0,25.25,0,0,0,1,0,0,71,Alto Risco
